classifier	assembler	sample	TP_genomes	FP_genomes	FN_genomes	precision_genome	recall_genome	f1_score_genome	total_reference_genomes	predicted_genomes_with_plasmids	total_contigs	predicted_plasmid_contigs	unmapped_predicted_plasmids	total_correctly_predicted_contigs	total_missed_contigs
vv	mpSPAdes	9	13	2	47	0.8666666666666667	0.21666666666666667	0.3466666666666666	60	13	131	15	2	13	47
plasx05	megahit	0	91	835	17	0.09827213822894168	0.8425925925925926	0.1760154738878143	108	91	401783	961	835	91	59
plasx05	megahit	1	76	976	18	0.07224334600760456	0.8085106382978723	0.13263525305410123	94	76	508942	1087	976	78	28
plasx05	megahit	2	72	1090	22	0.06196213425129088	0.7659574468085106	0.11464968152866242	94	72	524111	1193	1090	74	62
plasx05	megahit	3	83	941	19	0.0810546875	0.8137254901960784	0.14742451154529307	102	83	524058	1067	941	87	87
plasx05	megahit	4	72	691	15	0.09436435124508519	0.8275862068965517	0.16941176470588232	87	72	360048	797	691	73	62
plasx05	megahit	5	67	710	21	0.08622908622908623	0.7613636363636364	0.1549132947976879	88	67	401064	807	710	69	90
plasx05	megahit	6	69	858	18	0.0744336569579288	0.7931034482758621	0.13609467455621302	87	69	457606	956	858	70	55
plasx05	megahit	7	74	863	14	0.07897545357524013	0.8409090909090909	0.144390243902439	88	74	428985	963	863	75	33
plasx05	megahit	8	76	897	19	0.07810894141829394	0.8	0.14232209737827717	95	76	540913	1003	897	78	50
plasx05	megahit	9	67	736	15	0.08343711083437111	0.8170731707317073	0.15141242937853108	82	67	417836	829	736	70	38
plasx05	mpSPAdes	0	77	1	22	0.9871794871794872	0.7777777777777778	0.8700564971751413	99	77	198	109	1	77	22
plasx05	mpSPAdes	1	64	3	17	0.9552238805970149	0.7901234567901234	0.8648648648648647	81	64	154	89	3	64	17
plasx05	mpSPAdes	2	65	2	18	0.9701492537313433	0.7831325301204819	0.8666666666666668	83	65	163	91	2	65	18
plasx05	mpSPAdes	3	67	2	18	0.9710144927536232	0.788235294117647	0.8701298701298701	85	67	158	92	2	67	18
plasx05	mpSPAdes	4	48	3	15	0.9411764705882353	0.7619047619047619	0.8421052631578947	63	48	130	69	3	48	15
plasx05	mpSPAdes	5	50	4	8	0.9259259259259259	0.8620689655172413	0.8928571428571429	58	50	124	68	4	50	8
plasx05	mpSPAdes	6	54	7	9	0.8852459016393442	0.8571428571428571	0.8709677419354839	63	54	135	79	7	54	9
plasx05	mpSPAdes	7	55	4	11	0.9322033898305084	0.8333333333333334	0.8800000000000001	66	55	134	77	4	55	11
plasx05	mpSPAdes	8	65	7	16	0.9027777777777778	0.8024691358024691	0.8496732026143791	81	65	157	91	7	65	16
plasx05	mpSPAdes	9	48	4	12	0.9230769230769231	0.8	0.8571428571428571	60	48	131	72	4	48	12
plasx075	megahit	0	75	227	33	0.24834437086092714	0.6944444444444444	0.36585365853658536	108	75	401783	329	227	75	75
plasx075	megahit	1	68	285	26	0.19263456090651557	0.723404255319149	0.3042505592841163	94	68	508942	378	285	70	36
plasx075	megahit	2	61	287	33	0.1752873563218391	0.648936170212766	0.27601809954751133	94	61	524111	370	287	62	74
plasx075	megahit	3	67	275	35	0.195906432748538	0.6568627450980392	0.30180180180180183	102	67	524058	368	275	70	104
plasx075	megahit	4	57	209	30	0.21428571428571427	0.6551724137931034	0.32294617563739375	87	57	360048	287	209	58	77
plasx075	megahit	5	58	230	30	0.2013888888888889	0.6590909090909091	0.30851063829787234	88	58	401064	309	230	59	100
plasx075	megahit	6	61	267	26	0.18597560975609756	0.7011494252873564	0.29397590361445786	87	61	457606	349	267	62	63
plasx075	megahit	7	58	243	30	0.19269102990033224	0.6590909090909091	0.2982005141388175	88	58	428985	319	243	58	50
plasx075	megahit	8	64	262	31	0.19631901840490798	0.6736842105263158	0.30403800475059384	95	64	540913	351	262	66	62
plasx075	megahit	9	57	230	25	0.1986062717770035	0.6951219512195121	0.3089430894308943	82	57	417836	305	230	59	49
plasx075	mpSPAdes	0	68	1	31	0.9855072463768116	0.6868686868686869	0.8095238095238095	99	68	198	91	1	68	31
plasx075	mpSPAdes	1	53	2	28	0.9636363636363636	0.654320987654321	0.7794117647058824	81	53	154	70	2	53	28
plasx075	mpSPAdes	2	55	2	28	0.9649122807017544	0.6626506024096386	0.7857142857142856	83	55	163	74	2	55	28
plasx075	mpSPAdes	3	59	2	26	0.9672131147540983	0.6941176470588235	0.8082191780821918	85	59	158	76	2	59	26
plasx075	mpSPAdes	4	40	3	23	0.9302325581395349	0.6349206349206349	0.7547169811320754	63	40	130	53	3	40	23
plasx075	mpSPAdes	5	38	4	20	0.9047619047619048	0.6551724137931034	0.7599999999999999	58	38	124	53	4	38	20
plasx075	mpSPAdes	6	43	7	20	0.86	0.6825396825396826	0.7610619469026547	63	43	135	62	7	43	20
plasx075	mpSPAdes	7	45	4	21	0.9183673469387755	0.6818181818181818	0.782608695652174	66	45	134	60	4	45	21
plasx075	mpSPAdes	8	52	7	29	0.8813559322033898	0.6419753086419753	0.7428571428571428	81	52	157	69	7	52	29
plasx075	mpSPAdes	9	41	4	19	0.9111111111111111	0.6833333333333333	0.7809523809523808	60	41	131	59	4	41	19
plasx09	megahit	0	60	99	48	0.37735849056603776	0.5555555555555556	0.449438202247191	108	60	401783	171	99	60	90
plasx09	megahit	1	53	129	41	0.29120879120879123	0.5638297872340425	0.38405797101449274	94	53	508942	196	129	55	51
plasx09	megahit	2	51	116	43	0.30538922155688625	0.5425531914893617	0.39080459770114945	94	51	524111	178	116	52	84
plasx09	megahit	3	52	104	50	0.3333333333333333	0.5098039215686274	0.40310077519379844	102	52	524058	166	104	52	122
plasx09	megahit	4	46	89	41	0.34074074074074073	0.5287356321839081	0.4144144144144144	87	46	360048	144	89	46	89
plasx09	megahit	5	49	122	39	0.28654970760233917	0.5568181818181818	0.37837837837837834	88	49	401064	178	122	50	109
plasx09	megahit	6	47	120	40	0.281437125748503	0.5402298850574713	0.3700787401574803	87	47	457606	174	120	47	78
plasx09	megahit	7	50	108	38	0.31645569620253167	0.5681818181818182	0.4065040650406504	88	50	428985	168	108	50	58
plasx09	megahit	8	50	108	45	0.31645569620253167	0.5263157894736842	0.3952569169960474	95	50	540913	170	108	51	77
plasx09	megahit	9	47	99	35	0.3219178082191781	0.573170731707317	0.4122807017543859	82	47	417836	156	99	49	59
plasx09	mpSPAdes	0	55	1	44	0.9821428571428571	0.5555555555555556	0.7096774193548387	99	55	198	68	1	55	44
plasx09	mpSPAdes	1	43	2	38	0.9555555555555556	0.5308641975308642	0.6825396825396826	81	43	154	53	2	43	38
plasx09	mpSPAdes	2	46	2	37	0.9583333333333334	0.5542168674698795	0.7022900763358779	83	46	163	57	2	46	37
plasx09	mpSPAdes	3	48	2	37	0.96	0.5647058823529412	0.711111111111111	85	48	158	58	2	48	37
plasx09	mpSPAdes	4	32	3	31	0.9142857142857143	0.5079365079365079	0.653061224489796	63	32	130	41	3	32	31
plasx09	mpSPAdes	5	32	4	26	0.8888888888888888	0.5517241379310345	0.6808510638297872	58	32	124	43	4	32	26
plasx09	mpSPAdes	6	32	5	31	0.8648648648648649	0.5079365079365079	0.64	63	32	135	44	5	32	31
plasx09	mpSPAdes	7	37	4	29	0.9024390243902439	0.5606060606060606	0.6915887850467289	66	37	134	46	4	37	29
plasx09	mpSPAdes	8	41	6	40	0.8723404255319149	0.5061728395061729	0.640625	81	41	157	51	6	41	40
plasx09	mpSPAdes	9	34	4	26	0.8947368421052632	0.5666666666666667	0.6938775510204083	60	34	131	43	4	34	26
