sample	classifier	assembler	tp	tn	fp	fn	accuracy	precision	recall	specificity	false_positive_rate	f1_score
Sample 8	plasmidfinder	mpspades	0	75	1	81	0.47770700636942676	0	0	0.9868421052631579	0.013157894736842105	NA
Sample 8	plasmidfinder	megahit	0	298802	4	107	0.9996286544914407	0	0	0.9999866133879507	1.3386612049289506e-5	NA
Sample 8	plasme	mpspades	12	61	15	69	0.46496815286624205	0.4444444444444444	0.14814814814814814	0.8026315789473685	0.19736842105263158	0.2222222222222222
Sample 8	plasme	megahit	20	292443	6363	87	0.978421815043173	0.0031333228889237038	0.18691588785046728	0.9787052468825927	0.02129475311740728	0.0061633281972265025
Sample 8	platon	mpspades	81	0	76	0	0.5159235668789809	0.5159235668789809	1	0	1	0.6806722689075629
Sample 8	platon	megahit	84	298419	387	23	0.9986283634368529	0.17834394904458598	0.7850467289719626	0.9987048452842312	0.0012951547157687598	0.2906574394463668
Sample 8	dmc	mpspades	69	35	41	12	0.6624203821656051	0.6272727272727273	0.8518518518518519	0.4605263157894737	0.5394736842105263	0.7225130890052356
Sample 8	dmc	megahit	89	263592	35214	18	0.8821329283102441	0.002521032206894598	0.8317757009345794	0.8821509608240798	0.11784903917592016	0.005026828579497318
Sample 8	plasx09	mpspades	41	66	10	40	0.6815286624203821	0.803921568627451	0.5061728395061729	0.868421052631579	0.13157894736842105	0.6212121212121212
Sample 8	plasx075	mpspades	52	59	17	29	0.7070063694267515	0.7536231884057971	0.6419753086419753	0.7763157894736842	0.2236842105263158	0.6933333333333332
Sample 8	plasx05	mpspades	65	50	26	16	0.732484076433121	0.7142857142857143	0.8024691358024691	0.6578947368421053	0.34210526315789475	0.7558139534883721
Sample 8	plasx09	megahit	51	298717	89	56	0.9995149090203505	0.36428571428571427	0.4766355140186916	0.9997021478819033	2.978521180966915e-4	0.41295546558704455
Sample 8	plasx075	megahit	66	298608	198	41	0.9992004362473362	0.25	0.616822429906542	0.9993373627035602	6.626372964398306e-4	0.3557951482479784
Sample 8	plasx05	megahit	78	298222	584	29	0.9979492360653435	0.11782477341389729	0.7289719626168224	0.9980455546408037	0.0019544453591962677	0.20286085825747724
Sample 9	viralverify	mpspades	13	68	2	47	0.6230769230769231	0.8666666666666667	0.21666666666666667	0.9714285714285714	0.02857142857142857	0.3466666666666666
Sample 9	viralverify	megahit	17	227491	99	73	0.9992445537596627	0.14655172413793102	0.18888888888888888	0.9995650072498792	4.349927501208313e-4	0.16504854368932037
Sample 9	genomad	mpspades	37	56	14	23	0.7153846153846154	0.7254901960784313	0.6166666666666667	0.8	0.2	0.6666666666666666
Sample 9	genomad	megahit	51	226961	629	39	0.9970660576247364	0.075	0.5666666666666667	0.9972362581835758	0.0027637418164242716	0.13246753246753246
Sample 9	mobrecon	mpspades	1	66	4	59	0.5153846153846153	0.2	0.016666666666666666	0.9428571428571428	0.05714285714285714	0.03076923076923077
Sample 9	mobrecon	megahit	2	227167	423	88	0.9977556219255095	0.004705882352941176	0.022222222222222223	0.9981413946131201	0.0018586053868799156	0.007766990291262136
Sample 9	plasclass	mpspades	23	54	16	37	0.5923076923076923	0.5897435897435898	0.38333333333333336	0.7714285714285715	0.22857142857142856	0.46464646464646464
Sample 9	plasclass	megahit	26	202524	25066	64	0.8896257905832747	0.0010361868324565598	0.28888888888888886	0.8898633507623358	0.11013664923766422	0.0020649670399491703
Sample 9	plasmidfinder	mpspades	0	67	3	60	0.5153846153846153	0	0	0.9571428571428572	0.04285714285714286	NA
Sample 9	plasmidfinder	megahit	0	227587	3	90	0.9995915319747013	0	0	0.9999868184015115	1.318159848851004e-5	NA
Sample 9	plasme	mpspades	8	58	12	52	0.5076923076923077	0.4	0.13333333333333333	0.8285714285714286	0.17142857142857143	0.2
Sample 9	plasme	megahit	17	223143	4447	73	0.9801475755446241	0.0038082437275985663	0.18888888888888888	0.9804604771738653	0.019539522826134716	0.007465963987703118
Sample 9	platon	mpspades	60	1	69	0	0.46923076923076923	0.46511627906976744	1	0.014285714285714285	0.9857142857142858	0.6349206349206349
Sample 9	platon	megahit	75	227300	290	15	0.9986604005621925	0.2054794520547945	0.8333333333333334	0.9987257788127774	0.0012742211872226372	0.3296703296703296
Sample 9	dmc	mpspades	53	30	40	7	0.6384615384615384	0.5698924731182796	0.8833333333333333	0.42857142857142855	0.5714285714285714	0.69281045751634
Sample 9	dmc	megahit	69	202590	25000	21	0.890104532677442	0.0027524033667078863	0.7666666666666667	0.890153345929083	0.109846654070917	0.005485114670694384
Sample 9	plasx09	mpspades	34	61	9	26	0.7307692307692307	0.7906976744186046	0.5666666666666667	0.8714285714285714	0.12857142857142856	0.6601941747572816
Sample 9	plasx075	mpspades	41	52	18	19	0.7153846153846154	0.6949152542372882	0.6833333333333333	0.7428571428571429	0.2571428571428571	0.6890756302521008
Sample 9	plasx05	mpspades	48	46	24	12	0.7230769230769231	0.6666666666666666	0.8	0.6571428571428571	0.34285714285714286	0.7272727272727272
Sample 9	plasx09	megahit	49	227516	74	41	0.999494905130007	0.3983739837398374	0.5444444444444444	0.9996748539039501	3.2514609604991434e-4	0.46009389671361506
Sample 9	plasx075	megahit	59	227434	156	31	0.9991786718200983	0.2744186046511628	0.6555555555555556	0.9993145568785975	6.85443121402522e-4	0.38688524590163936
Sample 9	plasx05	megahit	70	227110	480	20	0.9978039353478566	0.12727272727272726	0.7777777777777778	0.9978909442418384	0.0021090557581616063	0.21874999999999994
