sample	classifier	assembler	tp	tn	fp	fn	accuracy	precision	recall	specificity	false_positive_rate	f1_score
Sample 0	plasx075	megahit	75	210489	156	33	0.9991032156125892	0.3246753246753247	0.6944444444444444	0.9992594175033824	7.405824966175319e-4	0.44247787610619466
Sample 0	plasx05	megahit	91	210127	518	17	0.9974614833478053	0.14942528735632185	0.8425925925925926	0.9975408863253341	0.002459113674665907	0.25383542538354253
Sample 1	viralverify	mpspades	15	70	3	66	0.551948051948052	0.8333333333333334	0.18518518518518517	0.958904109589041	0.0410958904109589	0.303030303030303
Sample 1	viralverify	megahit	19	273766	116	76	0.9992992112476595	0.14074074074074075	0.2	0.9995764599353006	4.235400646993961e-4	0.16521739130434782
Sample 1	genomad	mpspades	44	57	16	37	0.6558441558441559	0.7333333333333333	0.5432098765432098	0.7808219178082192	0.2191780821917808	0.624113475177305
Sample 1	genomad	megahit	52	273081	801	43	0.9969194494428364	0.06096131301289566	0.5473684210526316	0.9970753828291016	0.002924617170898416	0.10970464135021098
Sample 1	mobrecon	mpspades	2	69	4	79	0.461038961038961	0.3333333333333333	0.024691358024691357	0.9452054794520548	0.0547945205479452	0.04597701149425287
Sample 1	mobrecon	megahit	3	273219	663	92	0.9972442942290777	0.0045045045045045045	0.031578947368421054	0.9975792494577957	0.002420750542204307	0.00788436268068331
Sample 1	plasclass	mpspades	23	53	20	58	0.4935064935064935	0.5348837209302325	0.2839506172839506	0.726027397260274	0.273972602739726	0.3709677419354838
Sample 1	plasclass	megahit	26	241971	31911	69	0.8832748734382813	8.141027648182359e-4	0.2736842105263158	0.8834863189256688	0.11651368107433129	0.0016233766233766235
Sample 1	plasmidfinder	mpspades	0	70	3	81	0.45454545454545453	0	0	0.958904109589041	0.0410958904109589	NA
Sample 1	plasmidfinder	megahit	0	273876	6	95	0.9996313559167376	0	0	0.9999780927552742	2.1907244725830833e-5	NA
Sample 1	plasme	mpspades	13	62	11	68	0.487012987012987	0.5416666666666666	0.16049382716049382	0.8493150684931506	0.1506849315068493	0.24761904761904763
Sample 1	plasme	megahit	17	267507	6375	78	0.9764469280268052	0.0026595744680851063	0.17894736842105263	0.9767235524788047	0.02327644752119526	0.005241251734237706
Sample 1	platon	mpspades	81	0	73	0	0.525974025974026	0.525974025974026	1	0	1	0.6893617021276596
Sample 1	platon	megahit	87	273492	390	8	0.9985473233154608	0.18238993710691823	0.9157894736842105	0.998576029092821	0.001423970907179004	0.30419580419580416
Sample 1	dmc	mpspades	68	30	43	13	0.6363636363636364	0.6126126126126126	0.8395061728395061	0.410958904109589	0.589041095890411	0.7083333333333333
Sample 1	dmc	megahit	82	242777	31105	13	0.8864211229409767	0.0026293006701510243	0.8631578947368421	0.8864291921338386	0.11357080786616133	0.005242631545297615
Sample 1	plasx09	mpspades	43	63	10	38	0.6883116883116883	0.8113207547169812	0.5308641975308642	0.863013698630137	0.136986301369863	0.6417910447761194
Sample 1	plasx075	mpspades	53	56	17	28	0.7077922077922078	0.7571428571428571	0.654320987654321	0.7671232876712328	0.2328767123287671	0.7019867549668874
Sample 1	plasx05	mpspades	64	48	25	17	0.7272727272727273	0.7191011235955056	0.7901234567901234	0.6575342465753424	0.3424657534246575	0.7529411764705881
Sample 1	plasx09	megahit	53	273788	94	42	0.9995036079670921	0.36054421768707484	0.5578947368421052	0.9996567864992953	3.4321350070468305e-4	0.4380165289256199
Sample 1	plasx075	megahit	68	273691	191	27	0.99920431277078	0.2625482625482625	0.7157894736842105	0.9993026193762277	6.973806237722815e-4	0.38418079096045193
Sample 1	plasx05	megahit	76	273270	612	19	0.9976968869649642	0.11046511627906977	0.8	0.9977654610379653	0.0022345389620347447	0.19412515964240104
Sample 2	viralverify	mpspades	17	76	3	65	0.577639751552795	0.85	0.2073170731707317	0.9620253164556962	0.0379746835443038	0.3333333333333333
Sample 2	viralverify	megahit	18	278155	103	76	0.999356929355636	0.1487603305785124	0.19148936170212766	0.9996298399327243	3.7016006727569377e-4	0.16744186046511628
Sample 2	genomad	mpspades	47	62	17	35	0.6770186335403726	0.734375	0.573170731707317	0.7848101265822784	0.21518987341772153	0.6438356164383561
Sample 2	genomad	megahit	53	277460	798	41	0.9969858308903834	0.06227967097532315	0.5638297872340425	0.9971321579253786	0.0028678420746213944	0.11216931216931217
Sample 2	mobrecon	mpspades	2	76	3	80	0.484472049689441	0.4	0.024390243902439025	0.9620253164556962	0.0379746835443038	0.04597701149425288
Sample 2	mobrecon	megahit	4	277442	816	90	0.996745128470426	0.004878048780487805	0.0425531914893617	0.9970674697582819	0.0029325302417181178	0.0087527352297593
Sample 2	plasclass	mpspades	26	57	22	56	0.515527950310559	0.5416666666666666	0.3170731707317073	0.7215189873417721	0.27848101265822783	0.39999999999999997
Sample 2	plasclass	megahit	29	246037	32221	65	0.88401017416796	8.992248062015504e-4	0.30851063829787234	0.8842045871098045	0.11579541289019543	0.0017932228543161022
Sample 2	plasmidfinder	mpspades	0	77	2	82	0.4782608695652174	0	0	0.9746835443037974	0.02531645569620253	NA
Sample 2	plasmidfinder	megahit	0	278255	3	94	0.9996515203770765	0	0	0.9999892186388172	1.0781361182787198e-5	NA
Sample 2	plasme	mpspades	15	69	10	67	0.5217391304347826	0.6	0.18292682926829268	0.8734177215189873	0.12658227848101267	0.2803738317757009
Sample 2	plasme	megahit	17	271524	6734	77	0.9755309823532793	0.002518145459931862	0.18085106382978725	0.9757994379317037	0.02420056206829633	0.004967129291453615
Sample 2	platon	mpspades	82	0	79	0	0.5093167701863354	0.5093167701863354	1	0	1	0.6748971193415638
Sample 2	platon	megahit	90	277718	540	4	0.9980456400528827	0.14285714285714285	0.9574468085106383	0.9980593549870983	0.0019406450129016955	0.24861878453038672
Sample 2	dmc	mpspades	71	33	46	11	0.6459627329192547	0.6068376068376068	0.8658536585365854	0.4177215189873418	0.5822784810126582	0.7135678391959799
Sample 2	dmc	megahit	81	243532	34726	13	0.8751975915387711	0.002327118108426466	0.8617021276595744	0.8752021505221773	0.12479784947782274	0.004641700810865019
Sample 2	plasx09	mpspades	45	67	12	37	0.6956521739130435	0.7894736842105263	0.5487804878048781	0.8481012658227848	0.1518987341772152	0.6474820143884893
Sample 2	plasx075	mpspades	54	59	20	28	0.7018633540372671	0.7297297297297297	0.6585365853658537	0.7468354430379747	0.25316455696202533	0.6923076923076923
Sample 2	plasx05	mpspades	64	52	27	18	0.7204968944099379	0.7032967032967034	0.7804878048780488	0.6582278481012658	0.34177215189873417	0.739884393063584
Sample 2	plasx09	megahit	51	278173	85	43	0.9995401506006782	0.375	0.5425531914893617	0.9996945280998211	3.054719001789706e-4	0.4434782608695652
Sample 2	plasx075	megahit	61	278068	190	33	0.9991988561246192	0.24302788844621515	0.648936170212766	0.9993171804584234	6.828195415765225e-4	0.35362318840579715
Sample 2	plasx05	megahit	72	277582	676	22	0.9974923837443237	0.0962566844919786	0.7659574468085106	0.997570599946812	0.0024294000531880485	0.17102137767220904
Sample 3	viralverify	mpspades	15	71	2	70	0.5443037974683544	0.8823529411764706	0.17647058823529413	0.9726027397260274	0.0273972602739726	0.29411764705882354
Sample 3	viralverify	megahit	16	284717	111	106	0.999238462888226	0.12598425196850394	0.13114754098360656	0.9996102911230638	3.8970887693625625e-4	0.1285140562248996
Sample 3	genomad	mpspades	50	57	16	35	0.6772151898734177	0.7575757575757576	0.5882352941176471	0.7808219178082192	0.2191780821917808	0.6622516556291391
Sample 3	genomad	megahit	57	284038	790	65	0.9969994735918583	0.06729634002361275	0.4672131147540984	0.9972263962812645	0.0027736037187355176	0.1176470588235294
Sample 3	mobrecon	mpspades	3	68	5	82	0.44936708860759494	0.375	0.03529411764705882	0.9315068493150684	0.0684931506849315	0.06451612903225806
Sample 3	mobrecon	megahit	4	284286	542	118	0.9976838041761713	0.007326007326007326	0.03278688524590164	0.9980970971955004	0.0019029028044995576	0.011976047904191616
Sample 3	plasclass	mpspades	21	55	18	64	0.4810126582278481	0.5384615384615384	0.24705882352941178	0.7534246575342466	0.2465753424657534	0.33870967741935487
Sample 3	plasclass	megahit	31	252252	32576	91	0.8853588348833129	9.507161039040697e-4	0.2540983606557377	0.8856292218461668	0.11437077815383319	0.001894344465153228
Sample 3	plasmidfinder	mpspades	0	70	3	85	0.4430379746835443	0	0	0.958904109589041	0.0410958904109589	NA
Sample 3	plasmidfinder	megahit	0	284825	3	122	0.9995613265485173	0	0	0.9999894673276504	1.0532672349628548e-5	NA
Sample 3	plasme	mpspades	14	59	14	71	0.4620253164556962	0.5	0.16470588235294117	0.8082191780821918	0.1917808219178082	0.24778761061946902
Sample 3	plasme	megahit	20	277581	7247	102	0.9742095104404281	0.002752167331773772	0.16393442622950818	0.9745565744940806	0.02544342550591936	0.005413452429286778
Sample 3	platon	mpspades	85	0	73	0	0.5379746835443038	0.5379746835443038	1	0	1	0.6995884773662552
Sample 3	platon	megahit	89	284371	457	33	0.9982804000701877	0.163003663003663	0.7295081967213115	0.9983955229120732	0.0016044770879267488	0.2664670658682635
Sample 3	dmc	mpspades	74	31	42	11	0.6645569620253164	0.6379310344827587	0.8705882352941177	0.4246575342465753	0.5753424657534246	0.736318407960199
Sample 3	dmc	megahit	97	251971	32857	25	0.8846043165467626	0.0029434969958123443	0.7950819672131147	0.884642661536085	0.11535733846391506	0.005865279961301245
Sample 3	plasx09	mpspades	48	63	10	37	0.7025316455696202	0.8275862068965517	0.5647058823529412	0.863013698630137	0.136986301369863	0.6713286713286712
Sample 3	plasx075	mpspades	59	56	17	26	0.7278481012658228	0.7763157894736842	0.6941176470588235	0.7671232876712328	0.2328767123287671	0.732919254658385
Sample 3	plasx05	mpspades	67	48	25	18	0.7278481012658228	0.7282608695652174	0.788235294117647	0.6575342465753424	0.3424657534246575	0.7570621468926554
Sample 3	plasx09	megahit	52	284761	67	70	0.9995192138971749	0.4369747899159664	0.4262295081967213	0.999764770317525	2.3522968247503758e-4	0.43153526970954353
Sample 3	plasx075	megahit	69	284647	181	53	0.9991788032988244	0.276	0.5655737704918032	0.9993645287682391	6.354712317609224e-4	0.3709677419354839
Sample 3	plasx05	megahit	86	284262	566	36	0.9978873486576593	0.13190184049079753	0.7049180327868853	0.9980128358167034	0.001987164183296586	0.22222222222222218
Sample 4	viralverify	mpspades	11	64	2	52	0.5813953488372093	0.8461538461538461	0.1746031746031746	0.9696969696969697	0.030303030303030304	0.2894736842105263
Sample 4	viralverify	megahit	14	191903	95	82	0.9990785761137776	0.12844036697247707	0.14583333333333334	0.9995052031791998	4.947968208002167e-4	0.13658536585365855
Sample 4	genomad	mpspades	36	48	18	27	0.6511627906976745	0.6666666666666666	0.5714285714285714	0.7272727272727273	0.2727272727272727	0.6153846153846153
Sample 4	genomad	megahit	52	191406	592	44	0.996689120951201	0.08074534161490683	0.5416666666666666	0.9969166345482765	0.0030833654517234553	0.14054054054054052
Sample 4	mobrecon	mpspades	2	62	4	61	0.49612403100775193	0.3333333333333333	0.031746031746031744	0.9393939393939394	0.06060606060606061	0.057971014492753624
Sample 4	mobrecon	megahit	6	191665	333	90	0.9977979530854686	0.017699115044247787	0.0625	0.9982656069334056	0.0017343930665944436	0.027586206896551724
Sample 4	plasclass	mpspades	16	51	15	47	0.5193798449612403	0.5161290322580645	0.25396825396825395	0.7727272727272727	0.22727272727272727	0.3404255319148936
Sample 4	plasclass	megahit	35	171146	20852	61	0.8911314252397264	0.0016756834394599511	0.3645833333333333	0.8913947020281461	0.10860529797185388	0.0033360339322308537
Sample 4	plasmidfinder	mpspades	0	63	3	63	0.4883720930232558	0	0	0.9545454545454546	0.045454545454545456	NA
Sample 4	plasmidfinder	megahit	0	191995	3	96	0.9994846273178756	0	0	0.9999843748372379	1.5625162762112104e-5	NA
Sample 4	plasme	mpspades	9	51	15	54	0.46511627906976744	0.375	0.14285714285714285	0.7727272727272727	0.22727272727272727	0.20689655172413796
